Tensão (V),Massa (g),Tempo (s),Potência (W),Calor latente (j/g),Tempo ideal (s)
8,1.2,70,6.51,379.75,61.70322581
8,0.9,30,6.5,216.6666667,46.34861538
8,1.2,55,6.5,297.9166667,61.79815385
8,0.6,35,6.5,379.1666667,30.89907692
8,0.8,20,6.5,162.5,41.19876923
8,0.7,33,6.5,306.4285714,36.04892308
8,2.8,142.22,6.51,330.6615,143.9741935
8,2.1,90,6.5,278.5714286,108.1467692
8,2.5,152,6.5,395.2,128.7461538
8,2.4,136.16,6.5,368.7666667,123.5963077
8,2.4,109,6.5,295.2083333,123.5963077
8,1.4,92,6.5,427.1428571,72.09784615
8,1.3,92,6.5,460,66.948
8,1.5,56,6.5,242.6666667,77.24769231
8,1.3,60,6.5,300,66.948
8,1.1,59,6.5,348.6363636,56.64830769
8,2.1,134,6.5,414.7619048,108.1467692
